epsilon_zz,sigma_zz
-2.5e-05,-0.6740546972
-5e-05,-1.339718062
-7.5e-05,-1.996310284
-0.0001,-2.643408688
-0.000125,-3.280911301
-0.00015,-3.908821122
-0.000175,-4.527361966
-0.0002,-5.136752471
-0.000225,-5.737390993
-0.00025,-6.329599936
-0.000275,-6.91386612
-0.0003,-7.490550232
-0.000325,-8.060175818
-0.00035,-8.623102667
-0.000375,-9.179858899
-0.0004,-9.730779548
-0.000425,-10.2763761
-0.00045,-10.81694359
-0.000475,-11.35296128
-0.0005,-11.88467339
-0.000525,-12.41251382
-0.00055,-12.93666719
-0.000575,-13.45750955
-0.0006,-13.97515803
-0.000625,-14.48991859
-0.00065,-15.00183367
-0.000675,-15.51112771
-0.0007,-16.01776269
-0.000725,-16.52187232
-0.00075,-17.02333544
-0.000775,-17.52218992
-0.0008,-18.0182336
-0.000825,-18.51140977
-0.00085,-19.00144377
-0.000875,-19.48819327
-0.0009,-19.97132664
-0.000925,-20.45063267
-0.00095,-20.92574422
-0.000975,-21.39640401
-0.001,-21.86223433
-0.001025,-22.3229575
-0.00105,-22.77820996
-0.001075,-23.22771849
-0.0011,-23.67115476
-0.001125,-24.1082707
-0.00115,-24.53878838
-0.001175,-24.96249952
-0.0012,-25.37918509
-0.001225,-25.78868499
-0.00125,-26.1908415
-0.001275,-26.58554573
-0.0013,-26.97269921
-0.001325,-27.35224329
-0.00135,-27.72413393
-0.001375,-28.08835919
-0.0014,-28.44492325
-0.001425,-28.79385599
-0.00145,-29.1352031
-0.001475,-29.46903078
-0.0015,-29.7954196
-0.001525,-30.11446634
-0.00155,-30.42628014
-0.001575,-30.73098271
-0.0016,-31.02870578
-0.001625,-31.31959053
-0.00165,-31.60378575
-0.001675,-31.8814469
-0.0017,-32.15273473
-0.001725,-32.41781421
-0.00175,-32.6768534
-0.001775,-32.93002249
-0.0018,-33.17749279
-0.001825,-33.41943589
-0.00185,-33.65602287
-0.001875,-33.88742356
-0.0019,-34.11380591
-0.001925,-34.3353354
-0.00195,-34.55217457
-0.001975,-34.76448255
-0.002,-34.97241476
-0.002025,-35.17612255
-0.00205,-35.37575301
-0.002075,-35.57144874
-0.0021,-35.76334775
-0.002125,-35.95158337
-0.00215,-36.13628415
-0.002175,-36.31757392
-0.0022,-36.49557173
-0.002225,-36.67039194
-0.00225,-36.84214426
-0.002275,-37.01093385
-0.0023,-37.17686141
-0.002325,-37.3400233
-0.00235,-37.50051165
-0.002375,-37.6584145
-0.0024,-37.81381593
-0.002425,-37.96679623
-0.00245,-38.117432
-0.002475,-38.26579631
-0.0025,-38.41195887
-0.002525,-38.8475306
-0.00255,-43.82700712
-0.002575,-44.2128026
-0.0026,-44.59587671
-0.002625,-44.97588398
-0.00265,-45.35273118
-0.002675,-45.72675254
-0.0027,-46.09773685
-0.002725,-46.46594303
-0.00275,-46.83126931
-0.002775,-47.19386882
-0.0028,-47.55371647
-0.002825,-47.91090499
-0.00285,-48.24355219
-0.002875,-48.55399564
-0.0029,-48.86650908
-0.002925,-49.17546846
-0.00295,-49.48224977
-0.002975,-49.78656945
-0.003,-50.08854573
-0.003025,-50.38819272
-0.00305,-50.68555329
-0.003075,-50.98065923
-0.0031,-51.27354599
-0.003125,-51.56424593
-0.00315,-51.85279201
-0.003175,-52.13921565
-0.0032,-52.42354811
-0.003225,-52.70581961
-0.00325,-52.98605996
-0.003275,-53.26429819
-0.0033,-53.54056281
-0.003325,-53.81488169
-0.00335,-54.08728214
-0.003375,-54.3577909
-0.0034,-54.62643419
-0.003425,-54.89323768
-0.00345,-55.15822654
-0.003475,-55.42142545
-0.0035,-55.6828586
-0.003525,-55.94254972
-0.00355,-56.20052206
-0.003575,-56.45679845
-0.0036,-56.71140129
-0.003625,-56.96435254
-0.00365,-57.21567376
-0.003675,-57.46538612
-0.0037,-57.71351039
-0.003725,-57.96006697
-0.00375,-58.20507587
-0.003775,-58.44855677
-0.0038,-58.69052899
-0.003825,-58.93101148
-0.00385,-59.1700229
-0.003875,-59.40758155
-0.0039,-59.64370542
-0.003925,-59.87841219
-0.00395,-60.11171925
-0.003975,-60.34364366
-0.004,-60.57420223
-0.004025,-60.80341144
-0.00405,-61.03128754
-0.004075,-61.25784647
-0.0041,-61.48310393
-0.004125,-61.70707535
-0.00415,-61.9297759
-0.004175,-62.15122052
-0.0042,-62.37142388
-0.004225,-62.59040044
-0.00425,-62.8081644
-0.004275,-63.02472975
-0.0043,-63.24011025
-0.004325,-63.45431945
-0.00435,-63.66737067
-0.004375,-63.87927702
-0.0044,-64.09005142
-0.004425,-64.29970657
-0.00445,-64.50825499
-0.004475,-64.71570898
-0.0045,-64.92208069
-0.004525,-65.12738204
-0.00455,-65.33162479
-0.004575,-65.53482052
-0.0046,-65.73698062
-0.004625,-65.93811634
-0.00465,-66.13823871
-0.004675,-66.33735865
-0.0047,-66.53548687
-0.004725,-66.73263394
-0.00475,-66.92881028
-0.004775,-67.12402614
-0.0048,-67.31829163
-0.004825,-67.5116167
-0.00485,-67.70401118
-0.004875,-67.89548472
-0.0049,-68.08604686
-0.004925,-68.27570698
-0.00495,-54.87504074
-0.004975,-55.05483931
-0.005,-55.23387857
